ip.src,ip.dst,tcp.len,tcp.time_delta,tcp.flags,mqtt.msgtype,mqtt.msgid,mqtt.qos,mqtt.dupflag,mqtt.len,mqtt.kalive,mqtt.conack.val,mqtt.conflag.passwd,mqtt.retain,timestamp
10.0.0.99,10.0.0.10,1448,0.000001138,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.467888
10.0.0.99,10.0.0.10,1448,0.000002204,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.468167
10.0.0.99,10.0.0.10,1448,0.000001191,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.468391
10.0.0.99,10.0.0.10,1448,0.000002190,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.468652
10.0.0.99,10.0.0.10,1448,0.000001116,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.468890
10.0.0.99,10.0.0.10,1448,0.000002608,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.469134
10.0.0.99,10.0.0.10,1448,0.000001138,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.469397
10.0.0.99,10.0.0.10,1448,0.000002299,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.469677
10.0.0.99,10.0.0.10,1448,0.000001162,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.469926
10.0.0.99,10.0.0.10,1448,0.000002196,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.470182
10.0.0.99,10.0.0.10,1448,0.000001143,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.470465
10.0.0.99,10.0.0.10,1448,0.000002247,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.470731
10.0.0.99,10.0.0.10,1448,0.000001103,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.471031
10.0.0.99,10.0.0.10,1448,0.000002302,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.471324
10.0.0.99,10.0.0.10,1448,0.000001386,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.471721
10.0.0.99,10.0.0.10,1448,0.000002251,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.471870
10.0.0.99,10.0.0.10,1448,0.000001123,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.472034
10.0.0.99,10.0.0.10,1448,0.000002170,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.472292
10.0.0.99,10.0.0.10,1448,0.000001145,0x0010,3,,0,False,16,,,,False,2026-05-01T15:06:54.472545
10.0.0.99,10.0.0.10,1448,0.000002759,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.472811
10.0.0.99,10.0.0.10,2424,0.005035775,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.473507
10.0.0.99,10.0.0.10,65160,0.000018295,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.483019
10.0.0.99,10.0.0.10,2424,0.005322643,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.486665
10.0.0.99,10.0.0.10,65160,0.000029350,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.615231
10.0.0.99,10.0.0.10,2424,0.005310307,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.620036
10.0.0.99,10.0.0.10,64000,0.000012386,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.629473
10.0.0.99,10.0.0.10,34752,0.000009356,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.637413
10.0.0.99,10.0.0.10,32832,0.002890758,0x0018,3,,0,False,16,,,,False,2026-05-01T15:06:54.644810
10.0.0.99,10.0.0.10,1448,0.000058354,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.360605
10.0.0.99,10.0.0.10,1448,0.000002033,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.361227
10.0.0.99,10.0.0.10,1448,0.000094402,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.361258
10.0.0.99,10.0.0.10,1448,0.000086568,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.361526
10.0.0.99,10.0.0.10,1448,0.000336823,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.361843
10.0.0.99,10.0.0.10,1448,0.000075894,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.362139
10.0.0.99,10.0.0.10,1448,0.000541347,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.362392
10.0.0.99,10.0.0.10,1448,0.000075281,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.363054
10.0.0.99,10.0.0.10,1448,0.000758276,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.363179
10.0.0.99,10.0.0.10,1448,0.000078113,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.363518
10.0.0.99,10.0.0.10,23168,0.000038487,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.369394
10.0.0.99,10.0.0.10,23168,0.001778197,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.373610
10.0.0.99,10.0.0.10,23168,0.000038625,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.378021
